1142,1995-06-10,1995-06-11,"1995 FPA Northwest Championships",1995-fpa-northwest-championships
1143,1995-06-24,1995-06-24,"1995 Maine States",1995-maine-states
1144,1995-06-24,1995-06-25,"1995 Minnesota States",1995-minnesota-states
1145,1995-07-08,1995-07-09,"1995 FPA Eastern Nat'l Flying Disc Championships",1995-fpa-eastern-natl-flying-disc-championships
1146,1995-07-04,1995-07-04,"1995 Florida State Beaches Champs",1995-florida-state-beaches-champs
1147,1995-07-30,1995-07-30,"1995 Iowa States",1995-iowa-states
1148,1995-07-22,1995-07-22,"1995 Connecticut States",1995-connecticut-states
1149,1995-08-05,1995-08-06,"1995 Swedisc Open",1995-swedisc-open
1150,1995-08-05,1995-08-06,"1995 Oklahoma States",1995-oklahoma-states
1151,1995-08-12,1995-08-12,"1995 Vermont States",1995-vermont-states
1152,1995-08-12,1995-08-13,"1995 German Open",1995-german-open
1153,1995-08-20,1995-08-20,"1995 Beach Bowl",1995-beach-bowl
1154,1995-08-25,1995-08-27,"1995 FPA World Championships",1995-fpa-world-championships
1155,1995-09-02,1995-09-03,"1995 Alabama States",1995-alabama-states
1156,1995-09-09,1995-09-10,"1995 Wisconsin States",1995-wisconsin-states
1157,1995-09-23,1995-09-24,"1995 Tennessee States",1995-tennessee-states
1158,1995-09-30,1995-10-01,"1995 Florida States",1995-florida-states
1159,1995-09-30,1995-10-01,"1995 New England Championships",1995-new-england-championships
1160,1995-10-01,1995-10-01,"1995 DC States",1995-dc-states
1161,1995-10-07,1995-10-08,"1995 New York States",1995-new-york-states
1162,1995-10-07,1995-10-08,"1995 California States",1995-california-states
1163,1995-10-14,1995-10-14,"1995 La Mirada Fall One-Day Overall",1995-la-mirada-fall-one-day-overall
1164,1995-10-21,1995-10-22,"1995 Texas States",1995-texas-states
1165,1995-11-12,1995-11-12,"1995 Arizona States",1995-arizona-states
1166,1995-11-18,1995-11-19,"1995 World Beach Invitational",1995-world-beach-invitational
1167,2006-04-08,2006-04-09,"2006 30th Annual Virginia States Frisbee Championships",2006-30th-annual-virginia-states-frisbee-championships
1168,1997-10-10,1997-10-12,"1997 FPA World Championships",1997-fpa-world-championships
1169,1997-10-25,1997-10-26,"1997  Southeastern Overall @ Fore Palms",1997-southeastern-overall-fore-palms
1170,1997-11-01,1997-11-01,"1997 La Mirada Fall 1-Day Overall",1997-la-mirada-fall-1-day-overall
1171,1997-11-08,1997-11-09,"1997 Arizona States",1997-arizona-states
1172,2006-01-22,2006-01-22,"2006 Boxmeer Winterjam",2006-boxmeer-winterjam
1173,1998-02-15,1998-02-15,"1998 2nd Annual Expression Session",1998-2nd-annual-expression-session
1174,1998-02-22,1998-02-22,"1998 Wintertime Open",1998-wintertime-open
1175,1998-03-07,1998-03-08,"1998 Indoor Championships  - Jackson Hole",1998-indoor-championships-jackson-hole
1176,1998-03-15,1998-03-15,"1998 Santa Monica Monthly",1998-santa-monica-monthly
1177,1993-04-17,1993-04-18,"1993 Virginia State Championships",1993-virginia-state-championships
1178,1993-05-09,1993-05-09,"1993 California State Overall Championships",1993-california-state-overall-championships
1179,1993-10-01,1993-10-01,"1993 Florida States",1993-florida-states
1180,1993-06-05,1993-06-05,"1993 California Open",1993-california-open
1181,1993-06-05,1993-06-06,"1993 Northwest Championships",1993-northwest-championships
1182,1993-02-14,1993-02-14,"1993 Wintertime Open",1993-wintertime-open
1183,1993-05-01,1993-05-01,"1993 LaMirada Disc Club Spring Overall",1993-lamirada-disc-club-spring-overall
1184,1993-06-12,1993-06-12,"1993 Maine Flying Disc Championships",1993-maine-flying-disc-championships
1185,1993-06-26,1993-06-26,"1993 Pyramids V",1993-pyramids-v
1186,1993-06-19,1993-06-20,"1993 Minnesota States",1993-minnesota-states
1187,1993-05-29,1993-05-30,"1993 Octad",1993-octad
1188,1993-07-30,1993-08-01,"1993 WFDF",1993-wfdf
1189,1998-03-28,1998-03-29,"1998 Beach Championships - San Diego",1998-beach-championships-san-diego
1190,1998-04-11,1998-04-12,"1998 Paganello - Rimini",1998-paganello-rimini
